,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.59592720556,-27.85851802611106,140.5792828817965,65.59592720556,65.59592720556,-5.865172059098864,-5.865172059098864,-5.865172059098864,-5.865172059098864,-5.865172059098864,-5.865172059098864,0.0,0.0,0.0,59.730755146461135
1,2020-03-17,67.3914155742788,-19.159243399179417,155.8436738127182,67.3914155742788,67.3914155742788,-2.3850194152937236,-2.3850194152937236,-2.3850194152937236,-2.3850194152937236,-2.3850194152937236,-2.3850194152937236,0.0,0.0,0.0,65.00639615898507
2,2020-03-18,69.18690394299759,-17.182762317057875,147.7316816888671,69.18690394299759,69.18690394299759,-3.4951707700117844,-3.4951707700117844,-3.4951707700117844,-3.4951707700117844,-3.4951707700117844,-3.4951707700117844,0.0,0.0,0.0,65.6917331729858
3,2020-03-19,70.9823923117164,-18.725834914855117,151.02623507572133,70.9823923117164,70.9823923117164,-3.8442675055225823,-3.8442675055225823,-3.8442675055225823,-3.8442675055225823,-3.8442675055225823,-3.8442675055225823,0.0,0.0,0.0,67.13812480619382
4,2020-03-20,72.7778806804352,-21.68197636860921,157.7663215664392,72.7778806804352,72.7778806804352,-7.762427094654515,-7.762427094654515,-7.762427094654515,-7.762427094654515,-7.762427094654515,-7.762427094654515,0.0,0.0,0.0,65.01545358578069
5,2020-03-23,78.1643457865916,-7.553534981176201,156.82767294897164,78.1643457865916,78.1643457865916,-5.865172059091873,-5.865172059091873,-5.865172059091873,-5.865172059091873,-5.865172059091873,-5.865172059091873,0.0,0.0,0.0,72.29917372749972
6,2020-03-24,79.9598341553104,-3.0278353194883545,156.52811945540253,79.9598341553104,79.9598341553104,-2.3850194152738986,-2.3850194152738986,-2.3850194152738986,-2.3850194152738986,-2.3850194152738986,-2.3850194152738986,0.0,0.0,0.0,77.5748147400365
7,2020-03-25,81.75532252402921,-3.833499324157333,167.3122953884091,81.75532252402921,81.75532252402921,-3.4951707700086225,-3.4951707700086225,-3.4951707700086225,-3.4951707700086225,-3.4951707700086225,-3.4951707700086225,0.0,0.0,0.0,78.26015175402058
8,2020-03-26,83.55081089274799,-15.50881636216129,166.89154620941002,83.55081089274799,83.55081089274799,-3.844267505539102,-3.844267505539102,-3.844267505539102,-3.844267505539102,-3.844267505539102,-3.844267505539102,0.0,0.0,0.0,79.70654338720888
9,2020-03-27,85.34629933435842,-12.331890601962044,163.33505516943825,85.34629933435842,85.34629933435842,-7.762427094641433,-7.762427094641433,-7.762427094641433,-7.762427094641433,-7.762427094641433,-7.762427094641433,0.0,0.0,0.0,77.58387223971698
10,2020-03-30,90.73276465918968,-2.3683005055063098,166.6971242987767,90.73276465918968,90.73276465918968,-5.865172059084881,-5.865172059084881,-5.865172059084881,-5.865172059084881,-5.865172059084881,-5.865172059084881,0.0,0.0,0.0,84.8675926001048
11,2020-03-31,92.5282531008001,1.587048305377705,174.55186589254416,92.5282531008001,92.5282531008001,-2.3850194153059667,-2.3850194153059667,-2.3850194153059667,-2.3850194153059667,-2.3850194153059667,-2.3850194153059667,0.0,0.0,0.0,90.14323368549414
12,2020-04-01,94.32374154241052,8.668562152674955,175.30820076840484,94.32374154241052,94.32374154241052,-3.4951707700098167,-3.4951707700098167,-3.4951707700098167,-3.4951707700098167,-3.4951707700098167,-3.4951707700098167,0.0,0.0,0.0,90.8285707724007
